typeArr size: 56
Seed: 79 Dest: 82
Seed: 80 Dest: 83
Seed: 81 Dest: 84
Seed: 82 Dest: 46
Seed: 83 Dest: 47
Seed: 84 Dest: 48
Seed: 85 Dest: 49
Seed: 86 Dest: 50
Seed: 87 Dest: 51
Seed: 88 Dest: 52
Seed: 89 Dest: 53
Seed: 90 Dest: 54
Seed: 91 Dest: 55
Seed: 92 Dest: 60
Seed: 55 Dest: 86
Seed: 56 Dest: 87
Seed: 57 Dest: 88
Seed: 58 Dest: 89
Seed: 59 Dest: 94
Seed: 60 Dest: 95
Seed: 61 Dest: 96
Seed: 62 Dest: 56
Seed: 63 Dest: 57
Seed: 64 Dest: 58
Seed: 65 Dest: 59
Seed: 66 Dest: 97
Seed: 67 Dest: 98
Res: 46
